itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
 268;9;13.484348;59.516769;-85639;-386540;61;-2;1;
 225;9;8.734646;61.076873;-336590;-197471;954;-6;1;
 345;9;9.882625;56.020611;-319900;-765162;37;3.5;1;
 257;9;25.689832;60.285555;587119;-253030;17;-2.2;1;
 266;9;9.990456;59.768345;-280614;-348593;136;0.6;1;
 184;9;7.732987;63.105776;-364743;32393;24;-2.3;1;
 244;9;7.284345;60.411825;-423023;-262479;750;-2.2;1;
 284;9;8.01303;58.156525;-410489;-516865;23;0.4;1;
 266;9;10.280498;59.208508;-268970;-412019;79;0.2;1;
 266;9;10.320445;59.807617;-261845;-345624;246;-0.6;1;
 347;9;12.541587;55.759352;-154925;-804196;15;17.7;1;
 347;9;12.464634;55.818215;-159512;-797419;51;3;1;
 347;9;12.520189;55.772437;-156216;-802679;30;4.4;1;
 266;9;10.786652;59.805221;-235815;-347694;91;-1.7;1;
 272;9;18.318074;59.474412;187659;-387426;36;-1.7;1;
 347;9;12.498205;55.652919;-158121;-816006;1;3.1;1;
 269;9;15.235245;59.59678;13261;-378613;100;-2.5;1;
 268;9;13.516631;59.410147;-84089;-398457;78;-2.7;1;
 307;9;12.268312;58.282818;-160158;-521696;79;0.6;1;
 325;9;9.213361;56.792134;-353873;-675641;25;4.6;1;
 254;9;22.227233;60.465766;395688;-259625;23;-3.1;1;
 185;9;7.925003;63.01974;-356195;21810;273;-0.3;1;
 345;9;10.266526;56.046843;-295730;-764071;11;5.4;1;
 266;9;10.789504;59.899106;-234972;-337273;135;-0.7;1;
 264;9;7.440913;59.097515;-431646;-408862;588;-0.3;1;
 248;9;12.938129;60.654501;-112432;-259076;513;-6.1;1;
 132;9;19.818087;66.604976;212970;409111;249;-9.7;1;
 325;9;9.995394;56.476335;-308899;-714867;13;4.4;1;
 348;9;13.219786;55.725059;-112305;-809445;78;2.6;1;
 186;9;9.48385;63.464172;-273700;63361;8;-5.7;1;
 244;9;8.187132;60.532331;-372306;-254735;840;-2.9;1;
 256;9;24.348902;60.357201;512873;-256620;74;-4.1;1;
 367;9;12.186882;55.478193;-178642;-834756;4;3.8;1;
 347;9;12.770228;55.970049;-139704;-781137;12;3.5;1;
 346;9;11.399713;55.80084;-226560;-796166;84;2.3;1;
 345;9;10.199375;56.187344;-298745;-748075;80;3.9;1;
 224;9;8.211594;61.182987;-363345;-182880;993;-4.5;1;
 246;9;10.275017;60.178911;-261347;-304209;92;1.7;1;
 368;9;13.164639;55.374114;-116906;-848663;5;3.2;1;
 271;9;17.816377;59.41149;159611;-395782;45;-1.9;1;
 325;9;9.750441;56.93746;-319781;-662267;45;5;1;
 167;9;11.22754;64.18651;-182594;137301;84;-10.7;1;
 307;9;11.858814;57.670539;-187485;-588850;21;4;1;
 242;9;5.1915;60.373833;-537614;-251035;37;8.6;1;
